check_date,engine,domain,hide_brand,total_queries,total_weighted_freq,visibility_weighted,visibility_unweighted,top3,top10,top11_50,top1_50,not_found,avg_position,median_position,unique_urls
2026-07-12,google,lampsshop.ru,False,1641,1890718.0,19.92,14.19,181,255,351,606,1035,15.8,14.5,105
2026-07-12,google,lu.ru,False,1641,1890718.0,18.96,20.82,169,360,747,1107,534,14.8,14.0,410
2026-07-12,google,lustranadom.ru,False,1641,1890718.0,1.6,2.61,3,20,377,397,1244,25.9,26.0,119
2026-07-12,google,lustrypremium.ru,False,1641,1890718.0,9.29,11.73,152,205,299,504,1137,15.7,15.0,107
2026-07-12,google,market-sveta.ru,False,1641,1890718.0,29.79,28.92,189,756,356,1112,529,10.7,7.0,239
2026-07-12,google,maytoni.ru,False,1641,1890718.0,15.75,9.66,115,202,91,293,1348,8.9,5.0,48
2026-07-12,google,megalamps.ru,False,1641,1890718.0,0.19,0.78,2,6,114,120,1521,29.5,30.0,86
2026-07-12,google,msveta.ru,False,1641,1890718.0,21.94,10.81,52,185,551,736,905,17.3,16.0,177
2026-07-12,google,svetilnik-online.ru,False,1641,1890718.0,11.76,14.4,140,228,509,737,904,15.2,15.0,216
2026-07-12,google,svetlux.ru,False,1641,1890718.0,14.52,25.07,210,594,403,997,644,11.8,9.0,259
2026-07-12,google,svetodom.ru,False,1641,1890718.0,8.64,8.33,58,187,232,419,1222,15.7,12.0,119
2026-07-12,google,topsvet.ru,False,1641,1890718.0,5.93,7.19,94,129,156,285,1356,15.6,13.0,72
2026-07-12,google,vamsvet.ru,False,1641,1890718.0,22.46,25.77,134,658,439,1097,544,11.2,9.0,376
2026-07-12,yandex,220svet.ru,False,1644,1981927.0,36.26,25.25,260,579,256,835,809,9.6,6.0,257
2026-07-12,yandex,basicdecor.ru,False,1644,1981927.0,17.63,13.53,46,285,596,881,763,16.9,15.0,342
2026-07-12,yandex,citilux.ru,False,1644,1981927.0,2.64,3.72,31,84,73,157,1487,14.3,10.0,83
2026-07-12,yandex,divine-light.ru,False,1644,1981927.0,12.27,15.44,62,362,452,814,830,14.0,12.0,384
2026-07-12,yandex,donplafon.ru,False,1644,1981927.0,20.58,24.37,122,621,430,1051,593,11.2,9.0,407
2026-07-12,yandex,elektrostandard.ru,False,1644,1981927.0,1.86,1.73,6,22,153,175,1469,24.1,23.0,49
